tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,7,20190718,Berkeley A,UG,Minnesota A,L,265,330,9,1,9,180,20,Florida-A / Michigan St
ACF Nationals 2019,7,20190718,Minnesota A,NA,Berkeley A,W,330,265,11,2,11,230,20.91,Florida-A / Michigan St
ACF Nationals 2019,7,20190719,Amherst,NA,Chicago A,L,25,435,2,5,2,30,15,Florida-A / Michigan St
ACF Nationals 2019,7,20190719,Chicago A,NA,Amherst,W,435,25,15,1,15,290,19.33,Florida-A / Michigan St
ACF Nationals 2019,7,20190720,New College of Florida,NA,WUSTL,L,65,215,4,1,4,30,7.5,Florida-A / Michigan St
ACF Nationals 2019,7,20190720,WUSTL,NA,New College of Florida,W,215,65,10,3,10,130,13,Florida-A / Michigan St
ACF Nationals 2019,7,20190721,Carnegie Mellon,UG,North Carolina,L,160,195,8,0,8,80,10,Florida-A / Michigan St
ACF Nationals 2019,7,20190721,North Carolina,NA,Carnegie Mellon,W,195,160,8,3,8,130,16.25,Florida-A / Michigan St
ACF Nationals 2019,7,20190722,Chicago B,NA,Maryland A,L,230,240,10,2,10,140,14,Florida-A / Michigan St
ACF Nationals 2019,7,20190722,Maryland A,NA,Chicago B,W,240,230,9,2,9,160,17.78,Florida-A / Michigan St
ACF Nationals 2019,7,20190723,Central Florida,UG,Oxford A,L,35,265,3,1,3,10,3.33,Florida-A / Michigan St
ACF Nationals 2019,7,20190723,Oxford A,NA,Central Florida,W,265,35,12,3,12,160,13.33,Florida-A / Michigan St
ACF Nationals 2019,8,20190801,Iowa,UG,Penn State,L,95,165,6,1,6,40,6.67,Illinois-A / Wright St
ACF Nationals 2019,8,20190801,Penn State,NA,Iowa,W,165,95,8,1,8,90,11.25,Illinois-A / Wright St
ACF Nationals 2019,8,20190802,Johns Hopkins,NA,Oxford A,W,240,220,10,0,10,140,14,Illinois-A / Wright St
